"variable","ccodealp","year","metric","value"
"une_imr","ESP",1999,"value.u",0.22463768115942
"une_imr","ESP",2001,"value.u",0.195652173913043
"une_imr","ESP",2002,"value.u",0.188405797101449
"une_imr","ESP",2003,"value.u",0.181159420289855
"une_imr","ESP",2004,"value.u",0.166666666666667
"une_imr","ESP",2005,"value.u",0.159420289855072
"une_imr","ESP",2006,"value.u",0.144927536231884
"une_imr","ESP",2007,"value.u",0.130434782608696
"une_imr","FIN",1999,"value.u",0.072463768115942
"une_imr","FIN",2001,"value.u",0.0579710144927536
"une_imr","FIN",2002,"value.u",0.0507246376811594
"une_imr","FIN",2003,"value.u",0.0434782608695652
"une_imr","FIN",2004,"value.u",0.036231884057971
"une_imr","FIN",2005,"value.u",0.0289855072463768
"une_imr","FIN",2006,"value.u",0.0217391304347826
"une_imr","FIN",2007,"value.u",0.0144927536231884
"une_imr","FRA",1999,"value.u",0.13768115942029
"une_imr","FRA",2001,"value.u",0.123188405797101
"une_imr","FRA",2002,"value.u",0.108695652173913
"une_imr","FRA",2003,"value.u",0.101449275362319
"une_imr","FRA",2004,"value.u",0.0942028985507246
"une_imr","FRA",2005,"value.u",0.0869565217391304
"une_imr","FRA",2006,"value.u",0.0797101449275362
"une_imr","FRA",2007,"value.u",0.0797101449275362
"une_imr","NOR",1999,"value.u",0.101449275362319
"une_imr","NOR",2001,"value.u",0.0797101449275362
"une_imr","NOR",2002,"value.u",0.072463768115942
"une_imr","NOR",2003,"value.u",0.0579710144927536
"une_imr","NOR",2004,"value.u",0.0507246376811594
"une_imr","NOR",2005,"value.u",0.0434782608695652
"une_imr","NOR",2006,"value.u",0.036231884057971
"une_imr","NOR",2007,"value.u",0.0289855072463768
"une_imr","POL",1999,"value.u",0.456521739130435
"une_imr","POL",2001,"value.u",0.376811594202899
"une_imr","POL",2002,"value.u",0.347826086956522
"une_imr","POL",2003,"value.u",0.318840579710145
"une_imr","POL",2004,"value.u",0.304347826086956
"une_imr","POL",2005,"value.u",0.282608695652174
"une_imr","POL",2006,"value.u",0.260869565217391
"une_imr","POL",2007,"value.u",0.239130434782609
"une_imr","SWE",1999,"value.u",0.0652173913043478
"une_imr","SWE",2001,"value.u",0.0507246376811594
"une_imr","SWE",2002,"value.u",0.0434782608695652
"une_imr","SWE",2003,"value.u",0.036231884057971
"une_imr","SWE",2004,"value.u",0.0289855072463768
"une_imr","SWE",2005,"value.u",0.0144927536231884
"une_imr","SWE",2006,"value.u",0.00724637681159421
"une_imr","SWE",2007,"value.u",0
"une_imr","UKR",1999,"value.u",1
"une_imr","UKR",2001,"value.u",0.905797101449275
"une_imr","UKR",2002,"value.u",0.855072463768116
"une_imr","UKR",2003,"value.u",0.811594202898551
"une_imr","UKR",2004,"value.u",0.760869565217391
"une_imr","UKR",2005,"value.u",0.710144927536232
"une_imr","UKR",2006,"value.u",0.652173913043478
"une_imr","UKR",2007,"value.u",0.601449275362319
"une_leb","DEU",1999,"value.u",0.754838223377995
"une_leb","DEU",2001,"value.u",0.80138315714097
"une_leb","DEU",2002,"value.u",0.793657075018371
"une_leb","DEU",2003,"value.u",0.805340418715966
"une_leb","DEU",2004,"value.u",0.828518665083765
"une_leb","DEU",2005,"value.u",0.847928090903954
"une_leb","DEU",2006,"value.u",0.863380255149152
"une_leb","DEU",2007,"value.u",0.894473024666929
"une_leb","DNK",1999,"value.u",0.647803719825877
"une_leb","DNK",2001,"value.u",0.682665309891271
"une_leb","DNK",2002,"value.u",0.690579833041248
"une_leb","DNK",2003,"value.u",0.709800817834059
"une_leb","DNK",2004,"value.u",0.73674788474947
"une_leb","DNK",2005,"value.u",0.763883392692257
"une_leb","DNK",2006,"value.u",0.783292818512445
"une_leb","DNK",2007,"value.u",0.791018900635045
"une_leb","ESP",1999,"value.u",0.831345280494468
"une_leb","ESP",2001,"value.u",0.881659034805056
"une_leb","ESP",2002,"value.u",0.897111199050254
"une_leb","ESP",2003,"value.u",0.90106846062525
"une_leb","ESP",2004,"value.u",0.920477886445439
"une_leb","ESP",2005,"value.u",0.943656132813238
"une_leb","ESP",2006,"value.u",0.993969887123825
"une_leb","ESP",2007,"value.u",0.997927148698813
"une_leb","FIN",1999,"value.u",0.721182655887838
"une_leb","FIN",2001,"value.u",0.773305444061282
"une_leb","FIN",2002,"value.u",0.785177228786255
"une_leb","FIN",2003,"value.u",0.804398213579058
"une_leb","FIN",2004,"value.u",0.831156839467091
"une_leb","FIN",2005,"value.u",0.839071362617068
"une_leb","FIN",2006,"value.u",0.869787250080089
"une_leb","FIN",2007,"value.u",0.873556070627701
"une_leb","FRA",1999,"value.u",0.822865434262345
